Topic,Count,Name,Representation,Representative_Docs
-1,205,-1_iphone air_app_camera_air,"['iphone air', 'app', 'camera', 'air', 'iphone', '18', 'iphone 18', 'new', 'pro', '9to5mac']","['gave iphone air admirable effort apple mark ellis mac oclock medium gave iphone air admirable effort apple mark ellis mac oclock medium', 'iphone air honeymoon period might already mark ellis mac oclock medium iphone air honeymoon period might already mark ellis mac oclock medium', 'apple iphone 18 pro apple iphone 18 pro max launch leaks reveal price battery design mashable india apple iphone 18 pro apple iphone 18 pro max launch leaks reveal price battery design mashable india']"
0,90,0_battery_iphone battery_battery life_life,"['battery', 'iphone battery', 'battery life', 'life', 'draining', 'ios', 'settings', 'iphones battery', 'drain', 'longer']","['iphone battery draining fast 8 iphone battery tips make last day cnet iphone battery draining fast 8 iphone battery tips make last day cnet', 'draining fast ios 26 update brings battery life woes iphone users analytics insight draining fast ios 26 update brings battery life woes iphone users analytics insight', 'apples ios 26 draining battery life iphones firstpost apples ios 26 draining battery life iphones firstpost']"
1,43,1_max review_review_17 review_17 pro,"['max review', 'review', '17 review', '17 pro', 'max', 'pro max', 'iphone 17', '17', 'phones', 'pro']","['apple iphone 17 pro max review tom guide apple iphone 17 pro max review tom guide', 'apple iphone 17 pro max review ign apple iphone 17 pro max review ign', 'apple iphone 17 pro max review ign southeast asia apple iphone 17 pro max review ign southeast asia']"
2,30,2_performance_a19_a19 pro_faster,"['performance', 'a19', 'a19 pro', 'faster', 'reveal', 'wccftech', '17e', 'iphone 17e', 'speed', 'pro']","['iphone 17e benchmarks reveal a19 chip performance tiny catch macrumors iphone 17e benchmarks reveal a19 chip performance tiny catch macrumors', 'iphone 17 pro leaked a19 pro benchmarks reveal incredible performance results far yahoo tech iphone 17 pro leaked a19 pro benchmarks reveal incredible performance results far yahoo tech', 'iphone 17 pro a19 pro benchmarks show surprising 13 performance jump iphone 16 pro outclass m4 macbook pro single core wccftech iphone 17 pro a19 pro benchmarks show surprising 13 performance jump iphone 16 pro outclass m4 macbook pro single core wccftech']"
3,24,3_phonearena_phonearena iphone_mobile_switching,"['phonearena', 'phonearena iphone', 'mobile', 'switching', 'xiaomi', 'verizon', 'problems', 'china', 'phonearena apple', 'smartphones']","['iphone 17 pro users report strange charging issue apple still hasnt addressed phonearena iphone 17 pro users report strange charging issue apple still hasnt addressed phonearena', 'iphone 17 pro may problems mobile despite ios update fix cellular issues phonearena iphone 17 pro may problems mobile despite ios update fix cellular issues phonearena', 'iphone 17 cellular issues mobile verizon others phonearena iphone 17 cellular issues mobile verizon others phonearena']"
4,24,4_9to5mac ios_9to5mac_iphone 9to5mac_26,"['9to5mac ios', '9to5mac', 'iphone 9to5mac', '26', 'ios 26', '26 new', 'music', '9to5mac apple', 'ios', 'iphone features']","['ios 26 3 new features iphone 9to5mac ios 26 3 new features iphone 9to5mac', 'ios 26 4 new features iphone 9to5mac ios 26 4 new features iphone 9to5mac', 'ios 26 2 release date heres new iphone features coming 9to5mac ios 26 2 release date heres new iphone features coming 9to5mac']"
5,23,5_16e vs_16e_iphone 16e_vs iphone,"['16e vs', '16e', 'iphone 16e', 'vs iphone', 'vs', 'cnet iphone', 'iphone 16', '16', 'cnet', '16 pro']","['iphone 16e vs iphone 16 get 200 forbes iphone 16e vs iphone 16 get 200 forbes', 'iphone 16e vs iphone 15 real bargain techradar iphone 16e vs iphone 15 real bargain techradar', 'iphone 16e vs iphone 15 pro affordable alternatives iphone 16 cnet iphone 16e vs iphone 15 pro affordable alternatives iphone 16 cnet']"
6,22,6_stores_gate_17 pro_17,"['stores', 'gate', '17 pro', '17', 'iphone 17', 'creative', 'apple says', 'bloq', 'hit', 'creative bloq']","['iphone 17 iphone 17 pro iphone 17 pro max sale apple fans reportedly spot scratches despite high price video goes viral financial express iphone 17 iphone 17 pro iphone 17 pro max sale apple fans reportedly spot scratches despite high price video goes viral financial express', 'iphone 17 pro pro max models scratches bodies complain many users social media etv bharat iphone 17 pro pro max models scratches bodies complain many users social media etv bharat', 'scratchgate apple says scratches iphone 17 pros stores bgr com scratchgate apple says scratches iphone 17 pros stores bgr com']"
7,22,7_macrumors ios_macrumors_coming soon_soon,"['macrumors ios', 'macrumors', 'coming soon', 'soon', 'macworld ios', 'macworld', 'ios 26', '26', 'ios', 'coming']","['ios 26 2 1 update coming soon iphones macrumors ios 26 2 1 update coming soon iphones macrumors', 'ios 26 2 coming soon 8 new features iphone macrumors ios 26 2 coming soon 8 new features iphone macrumors', 'ios 26 0 2 update iphones coming soon macrumors ios 26 0 2 update iphones coming soon macrumors']"
8,21,8_update_rollout_26 rollout_ios 26,"['update', 'rollout', '26 rollout', 'ios 26', '26', 'ios', 'india ios', 'soon', '26 update', 'know']","['ios 26 1 update coming soon heres whats new iphones get mashable india ios 26 1 update coming soon heres whats new iphones get mashable india', 'ios 26 rollout iphone get apple latest os update times india ios 26 rollout iphone get apple latest os update times india', 'ios 26 2 rollout begin soon heres cant skip iphone update mashable india ios 26 2 rollout begin soon heres cant skip iphone update mashable india']"
